     t     ,   pj0    ,    vj0    ,    tj0    ,    pj1    ,    vj1    ,    tj1    ,    pj2    ,    vj2    ,    tj2    ,    pj3    ,    vj3    ,    tj3    ,    pj4    ,    vj4    ,    tj4    ,    pj5    ,    vj5    ,    tj5    

   0.00000,    0.00001,    0.00000,   -0.14502,   -1.57082,    0.00000,    0.41081,    0.00002,   -0.00002,   -1.35657,   -1.57073,    0.00000,   -0.28604,   -0.00006,   -0.00002,    0.02558,    0.00001,    0.00000,    0.06612
   0.02000,    0.00002,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.41081,   -0.00002,   -0.00002,   -1.28517,   -1.57072,    0.00000,   -0.22986,   -0.00004,   -0.00002,    0.02046,   -0.00002,    0.00000,    0.08138
   0.04000,    0.00001,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.41081,    0.00001,   -0.00002,   -1.29945,   -1.57075,    0.00000,   -0.25540,   -0.00006,   -0.00002,    0.03581,   -0.00001,    0.00000,    0.06104
   0.06000,    0.00002,    0.00000,   -0.02900,   -1.57076,    0.00000,    0.35212,    0.00001,   -0.00002,   -1.19949,   -1.57073,    0.00000,   -0.28604,   -0.00006,   -0.00002,    0.02558,    0.00001,    0.00000,    0.07121
   0.08000,   -0.00001,    0.00000,   -0.08701,   -1.57080,    0.00000,    0.35212,   -0.00002,   -0.00002,   -1.29945,   -1.57076,    0.00000,   -0.25540,   -0.00004,   -0.00002,    0.03581,   -0.00002,    0.00000,    0.09155
   0.10000,    0.00004,    0.00000,   -0.05801,   -1.57082,    0.00000,    0.38146,   -0.00001,   -0.00002,   -1.25661,   -1.57073,    0.00000,   -0.27072,   -0.00004,   -0.00002,    0.03070,    0.00000,    0.00000,    0.08138
   0.12000,    0.00002,    0.00000,   -0.02900,   -1.57078,    0.00000,    0.44015,   -0.00004,   -0.00002,   -1.15665,   -1.57075,    0.00000,   -0.28093,   -0.00005,   -0.00002,    0.02558,   -0.00004,    0.00000,    0.07121
   0.14000,    0.00000,    0.00000,   -0.11602,   -1.57081,    0.00000,    0.35212,   -0.00001,   -0.00002,   -1.24233,   -1.57073,    0.00000,   -0.24007,   -0.00006,   -0.00002,    0.04605,   -0.00002,    0.00000,    0.07121
   0.16000,    0.00000,    0.00000,   -0.05801,   -1.57080,    0.00000,    0.41081,   -0.00004,   -0.00002,   -1.18521,   -1.57072,    0.00000,   -0.23496,   -0.00006,   -0.00002,    0.03070,   -0.00001,    0.00000,    0.08647
   0.18000,    0.00001,    0.00000,   -0.02900,   -1.57078,    0.00000,    0.41081,   -0.00004,   -0.00002,   -1.24233,   -1.57072,    0.00000,   -0.30137,   -0.00005,   -0.00002,    0.03581,    0.00000,    0.00000,    0.09155
   0.20000,    0.00001,    0.00000,   -0.20303,   -1.57077,    0.00000,    0.41081,   -0.00004,   -0.00002,   -1.25661,   -1.57075,    0.00000,   -0.25540,   -0.00005,   -0.00002,    0.03581,   -0.00002,    0.00000,    0.07630
   0.22000,   -0.00001,    0.00000,   -0.08701,   -1.57078,    0.00000,    0.44015,   -0.00004,   -0.00002,   -1.25661,   -1.57073,    0.00000,   -0.26561,   -0.00006,   -0.00002,    0.04093,   -0.00005,    0.00000,    0.04578
   0.24000,    0.00000,    0.00000,    0.00000,   -1.57077,    0.00000,    0.46949,   -0.00002,   -0.00002,   -1.22805,   -1.57076,    0.00000,   -0.24518,   -0.00002,   -0.00002,    0.05116,   -0.00005,    0.00000,    0.07630
   0.26000,   -0.00002,    0.00000,   -0.05801,   -1.57077,    0.00000,    0.41081,   -0.00002,    0.00000,   -1.22805,   -1.57072,    0.00000,   -0.27583,   -0.00007,   -0.00002,    0.03070,   -0.00002,    0.00000,    0.05595
   0.28000,   -0.00001,    0.00000,   -0.05801,   -1.57078,    0.00000,    0.46949,   -0.00002,    0.00000,   -1.18521,   -1.57072,    0.00000,   -0.30648,   -0.00004,   -0.00002,    0.03070,   -0.00001,    0.00000,    0.07630
   0.30000,    0.00005,    0.00000,   -0.08701,   -1.57080,    0.00000,    0.38146,   -0.00002,    0.00000,   -1.15665,   -1.57073,    0.00000,   -0.21453,   -0.00002,   -0.00002,    0.00512,   -0.00005,    0.00000,    0.08647
   0.32000,   -0.00002,    0.00000,   -0.17403,   -1.57078,    0.00000,    0.41081,   -0.00004,    0.00000,   -1.22805,   -1.57075,    0.00000,   -0.28093,   -0.00005,   -0.00002,    0.05628,    0.00000,    0.00000,    0.02543
   0.34000,    0.00004,    0.00000,   -0.05801,   -1.57077,    0.00000,    0.38146,   -0.00007,    0.00000,   -1.19949,   -1.57072,    0.00000,   -0.25540,   -0.00005,   -0.00002,    0.03070,   -0.00002,    0.00000,    0.06612
   0.36000,   -0.00001,    0.00000,   -0.08701,   -1.57078,    0.00000,    0.38146,   -0.00005,    0.00000,   -1.21377,   -1.57072,    0.00000,   -0.22986,   -0.00005,   -0.00002,    0.00000,    0.00000,    0.00000,    0.09155
   0.38000,    0.00000,    0.00000,   -0.11602,   -1.57078,    0.00000,    0.44015,   -0.00004,    0.00000,   -1.21377,   -1.57073,    0.00000,   -0.29115,   -0.00006,   -0.00002,    0.02558,    0.00000,    0.00000,    0.09664
   0.40000,    0.00000,    0.00000,    0.00000,   -1.57076,    0.00000,    0.38146,   -0.00004,    0.00000,   -1.34229,   -1.57071,    0.00000,   -0.27072,   -0.00007,   -0.00002,    0.06651,   -0.00001,    0.00000,    0.07121
   0.42000,    0.00002,    0.00000,   -0.05801,   -1.57077,    0.00000,    0.41081,   -0.00007,    0.00000,   -1.09953,   -1.57075,    0.00000,   -0.28093,   -0.00008,   -0.00002,    0.02558,   -0.00001,    0.00000,    0.06612
   0.44000,   -0.00004,    0.00000,   -0.05801,   -1.57076,    0.00000,    0.41081,   -0.00005,    0.00000,   -1.31373,   -1.57075,    0.00000,   -0.25029,   -0.00006,   -0.00002,    0.00512,   -0.00001,    0.00000,    0.07121
   0.46000,    0.00000,    0.00000,   -0.08701,   -1.57081,    0.00000,    0.41081,   -0.00004,    0.00000,   -1.14237,   -1.57073,    0.00000,   -0.22475,   -0.00006,   -0.00002,    0.03581,    0.00000,    0.00000,    0.10173
   0.48000,   -0.00001,    0.00000,    0.02900,   -1.57078,    0.00000,    0.35212,   -0.00001,    0.00000,   -1.24233,   -1.57072,    0.00000,   -0.24518,   -0.00002,   -0.00002,    0.02558,   -0.00002,    0.00000,    0.07121
   0.50000,    0.00002,    0.00000,   -0.14502,   -1.57080,    0.00000,    0.38146,   -0.00004,    0.00000,   -1.25661,   -1.57071,    0.00000,   -0.25029,   -0.00001,   -0.00002,    0.02558,   -0.00004,    0.00000,    0.08647
