t, r, v, p, to

0.000000, 0.000000, 0.000000, 0.000071, 0.193283
0.008000, 0.017452, 0.000000, 0.000071, 0.183110
0.016000, 0.034898, 0.000000, 0.000071, 0.213629
0.024000, 0.052334, 0.000000, 0.000059, 0.869193
0.032000, 0.069754, 0.000000, 0.000083, 0.671165
0.040000, 0.087153, 0.043071, 0.000203, 0.292370
0.048000, 0.104525, 0.025885, 0.000503, 0.635939
0.056000, 0.121866, 0.051028, 0.000683, 0.282768
0.064000, 0.139169, 0.052251, 0.001151, 0.453598
0.072000, 0.156430, 0.069412, 0.001583, 0.522812
0.080000, 0.173643, 0.083745, 0.002219, 0.724403
0.088000, 0.190803, 0.100523, 0.002999, 0.687052
0.096000, 0.207906, 0.122287, 0.003863, 0.558317
0.104000, 0.224945, 0.142971, 0.004967, 0.521287
0.112000, 0.241915, 0.167443, 0.006190, 0.703169
0.120000, 0.258812, 0.190956, 0.007666, 0.407139
0.128000, 0.275629, 0.219670, 0.009334, 0.558937
0.136000, 0.292363, 0.246563, 0.011170, 0.156584
0.144000, 0.309008, 0.277866, 0.013245, 0.220027
0.152000, 0.325559, 0.287261, 0.015501, 0.185822
0.160000, 0.342010, 0.311014, 0.017852, -0.016220
0.168000, 0.358358, 0.328415, 0.020360, 0.336158
0.176000, 0.374596, 0.347686, 0.023047, 0.317258
0.184000, 0.390720, 0.364128, 0.025903, 0.278001
0.192000, 0.406725, 0.377766, 0.028830, 0.228597
0.200000, 0.422607, 0.395047, 0.031901, 0.113053
0.208000, 0.438359, 0.406744, 0.035140, 0.221323
0.216000, 0.453978, 0.423810, 0.038500, -0.214655
0.224000, 0.469459, 0.445861, 0.041955, 0.163199
0.232000, 0.484797, 0.460386, 0.045602, 0.210421
0.240000, 0.499987, 0.473304, 0.049381, 0.130473
0.248000, 0.515024, 0.488069, 0.053209, -0.117317
0.256000, 0.529905, 0.500509, 0.057156, -0.039601
0.264000, 0.544625, 0.523207, 0.061211, 0.040961
0.272000, 0.559178, 0.537852, 0.065398, 0.307749
0.280000, 0.573562, 0.553671, 0.069825, 0.254002
0.288000, 0.587770, 0.566829, 0.074228, 0.047589
0.296000, 0.601800, 0.577208, 0.078846, -0.077545
0.304000, 0.615646, 0.595592, 0.083501, 0.000700
0.312000, 0.629305, 0.608798, 0.088300, 0.175482
0.320000, 0.642772, 0.619272, 0.093219, 0.111134
0.328000, 0.656043, 0.633653, 0.098257, -0.024541
0.336000, 0.669115, 0.650383, 0.103452, 0.007564
0.344000, 0.681982, 0.664860, 0.108671, 0.095529
0.352000, 0.694642, 0.670972, 0.114033, -0.040418
0.360000, 0.707090, 0.684994, 0.119384, -0.130662
0.368000, 0.719323, 0.702107, 0.124878, -0.027726
0.376000, 0.731337, 0.716033, 0.130577, 0.090373
0.384000, 0.743128, 0.725285, 0.136347, -0.117143
0.392000, 0.754693, 0.735495, 0.142189, -0.268806
0.400000, 0.766028, 0.752321, 0.148116, -0.028913
0.408000, 0.777129, 0.761597, 0.154221, 0.124422
0.416000, 0.787994, 0.769171, 0.160304, -0.068228
0.424000, 0.798619, 0.784775, 0.166566, -0.026974
0.432000, 0.809001, 0.793859, 0.172816, 0.070117
0.440000, 0.819136, 0.799443, 0.179185, -0.127893
0.448000, 0.829021, 0.815262, 0.185567, -0.244626
0.456000, 0.838655, 0.827846, 0.192201, 0.075989
0.464000, 0.848032, 0.833982, 0.198895, -0.203687
0.472000, 0.857152, 0.843569, 0.205636, -0.305444
0.480000, 0.866010, 0.851718, 0.212390, 0.009797
0.488000, 0.874604, 0.859053, 0.219192, 0.004488
0.496000, 0.882933, 0.870989, 0.226101, -0.306093
0.504000, 0.890992, 0.878851, 0.233094, -0.016567
0.512000, 0.898780, 0.884867, 0.240184, -0.073026
0.520000, 0.906294, 0.893400, 0.247261, -0.409328
0.528000, 0.913532, 0.904617, 0.254542, -0.023449
0.536000, 0.920491, 0.910968, 0.261787, -0.176831
0.544000, 0.927171, 0.918159, 0.269056, -0.248923
0.552000, 0.933568, 0.928082, 0.276445, -0.082045
0.560000, 0.939680, 0.926836, 0.283869, -0.428998
0.568000, 0.945507, 0.939251, 0.291391, -0.170751
0.576000, 0.951045, 0.943302, 0.298923, -0.126227
0.584000, 0.956294, 0.940737, 0.306456, -0.325956
0.592000, 0.961251, 0.959433, 0.313988, -0.174797
0.600000, 0.965916, 0.959217, 0.321677, -0.176346
0.608000, 0.970286, 0.965569, 0.329329, -0.472972
0.616000, 0.974361, 0.971800, 0.337102, -0.088135
0.624000, 0.978139, 0.971369, 0.344933, -0.115364
