tempo, vel, ref

0.000000, 0.000000, 0.000000
0.008000, 0.000000, 0.017452
0.016000, 0.000000, 0.034898
0.024000, 0.000000, 0.052334
0.032000, 0.000000, 0.069754
0.040000, 0.030583, 0.087153
0.048000, 0.021595, 0.104525
0.056000, 0.042999, 0.121866
0.064000, 0.045132, 0.139169
0.072000, 0.062869, 0.156430
0.080000, 0.076794, 0.173643
0.088000, 0.092829, 0.190803
0.096000, 0.112987, 0.207906
0.104000, 0.137195, 0.224945
0.112000, 0.156729, 0.241915
0.120000, 0.178876, 0.258812
0.128000, 0.206703, 0.275629
0.136000, 0.231870, 0.292363
0.144000, 0.264467, 0.309008
0.152000, 0.296897, 0.325559
0.160000, 0.303128, 0.342010
0.168000, 0.330500, 0.358358
0.176000, 0.344498, 0.374596
0.184000, 0.364224, 0.390720
0.192000, 0.379252, 0.406725
0.200000, 0.396701, 0.422607
0.208000, 0.411945, 0.438359
0.216000, 0.424145, 0.453978
0.224000, 0.444998, 0.469459
0.232000, 0.461248, 0.484797
0.240000, 0.472106, 0.499987
0.248000, 0.489795, 0.515024
0.256000, 0.502810, 0.529905
0.264000, 0.521098, 0.544625
0.272000, 0.538666, 0.559178
0.280000, 0.553743, 0.573562
0.288000, 0.564025, 0.587770
0.296000, 0.577543, 0.601800
0.304000, 0.594872, 0.615646
0.312000, 0.608702, 0.629305
0.320000, 0.621477, 0.642772
0.328000, 0.632623, 0.656043
0.336000, 0.648322, 0.669115
0.344000, 0.661337, 0.681982
0.352000, 0.673321, 0.694642
0.360000, 0.686048, 0.707090
0.368000, 0.704097, 0.719323
0.376000, 0.714092, 0.731337
0.384000, 0.722576, 0.743128
0.392000, 0.732715, 0.754693
0.400000, 0.753975, 0.766028
0.408000, 0.762652, 0.777129
0.416000, 0.768380, 0.787994
0.424000, 0.779981, 0.798619
0.432000, 0.795417, 0.809001
0.440000, 0.803710, 0.819136
0.448000, 0.811907, 0.829021
0.456000, 0.826264, 0.838655
0.464000, 0.832328, 0.848032
0.472000, 0.842874, 0.857152
0.480000, 0.854283, 0.866010
0.488000, 0.858358, 0.874604
0.496000, 0.868496, 0.882933
0.504000, 0.880600, 0.890992
0.512000, 0.884124, 0.898780
0.520000, 0.894047, 0.906294
0.528000, 0.904545, 0.913532
0.536000, 0.908260, 0.920491
0.544000, 0.916122, 0.927171
0.552000, 0.930167, 0.933568
0.560000, 0.928537, 0.939680
0.568000, 0.937645, 0.945507
0.576000, 0.942607, 0.951045
0.584000, 0.943398, 0.956294
0.592000, 0.954975, 0.961251
0.600000, 0.961925, 0.965916
0.608000, 0.962716, 0.970286
0.616000, 0.972495, 0.974361
0.624000, 0.974293, 0.978139
0.632000, 0.975108, 0.981619
0.640000, 0.978703, 0.984801
0.648000, 0.978200, 0.987682
0.656000, 0.990112, 0.990262
0.664000, 0.992030, 0.992541
0.672000, 0.992533, 0.994517
0.680000, 0.998549, 0.996191
0.688000, 0.996608, 0.997561
0.696000, 0.997662, 0.998627
0.704000, 1.000874, 0.999389
0.712000, 0.998142, 0.999847
0.720000, 1.007106, 1.000000
0.728000, 1.001905, 0.999848
0.736000, 1.003798, 0.999392
0.744000, 1.007106, 0.998632
0.752000, 1.002240, 0.997567
0.760000, 1.001401, 0.996199
0.768000, 0.997111, 0.994527
0.776000, 0.993300, 0.992552
0.784000, 0.997375, 0.990275
0.792000, 0.994451, 0.987696
0.800000, 0.995745, 0.984817
0.808000, 0.992030, 0.981637
0.816000, 0.986996, 0.978159
0.824000, 0.980525, 0.974382
0.832000, 0.978200, 0.970309
0.840000, 0.972495, 0.965940
0.848000, 0.976402, 0.961277
0.856000, 0.963196, 0.956321
0.864000, 0.965736, 0.951074
0.872000, 0.959217, 0.945537
0.880000, 0.949390, 0.939712
0.888000, 0.946010, 0.933601
0.896000, 0.938077, 0.927205
0.904000, 0.930167, 0.920528
0.912000, 0.928537, 0.913569
0.920000, 0.919597, 0.906333
0.928000, 0.913845, 0.898820
0.936000, 0.912550, 0.891034
0.944000, 0.898025, 0.882976
0.952000, 0.890811, 0.874649
0.960001, 0.879642, 0.866056
0.968001, 0.868017, 0.857199
0.976001, 0.865285, 0.848081
0.984001, 0.857902, 0.838705
0.992001, 0.844792, 0.829073
1.000001, 0.839974, 0.819189
1.008001, 0.831777, 0.809055
1.016001, 0.817971, 0.798675
1.024001, 0.806418, 0.788051
1.032001, 0.797262, 0.777188
1.040001, 0.787315, 0.766087
1.048001, 0.770465, 0.754754
1.056001, 0.767781, 0.743190
1.064001, 0.753040, 0.731400
1.072001, 0.737940, 0.719388
1.080001, 0.730606, 0.707156
1.088001, 0.721066, 0.694709
1.096001, 0.704864, 0.682050
1.104001, 0.690099, 0.669183
1.112001, 0.680775, 0.656113
1.120001, 0.667401, 0.642843
1.128001, 0.653332, 0.629377
1.136001, 0.640101, 0.615719
1.144001, 0.631185, 0.601874
1.152001, 0.612106, 0.587845
1.160001, 0.599091, 0.573638
1.168001, 0.580228, 0.559255
1.176001, 0.572198, 0.544702
1.184001, 0.557338, 0.529984
1.192001, 0.541854, 0.515104
1.200001, 0.523902, 0.500067
1.208001, 0.507627, 0.484878
1.216001, 0.495284, 0.469541
1.224001, 0.482868, 0.454061
1.232001, 0.464077, 0.438442
1.240001, 0.452380, 0.422691
1.248001, 0.432103, 0.406810
1.256001, 0.421101, 0.390806
1.264001, 0.406433, 0.374682
1.272001, 0.389703, 0.358444
1.280001, 0.370696, 0.342098
1.288001, 0.353702, 0.325647
1.296001, 0.333760, 0.309096
1.304001, 0.316862, 0.292452
1.312001, 0.304591, 0.275719
1.320001, 0.290425, 0.258901
1.328001, 0.273264, 0.242005
1.336001, 0.255383, 0.225035
1.344001, 0.237695, 0.207996
1.352001, 0.223409, 0.190894
1.360001, 0.201406, 0.173734
1.368001, 0.186019, 0.156521
1.376001, 0.165166, 0.139261
1.384001, 0.151360, 0.121958
1.392001, 0.135733, 0.104618
1.400001, 0.116870, 0.087245
1.408001, 0.101242, 0.069847
1.416001, 0.081516, 0.052427
1.424001, 0.066800, 0.034991
1.432001, 0.044077, 0.017545
1.440001, 0.021068, 0.000093
1.448002, 0.010785, -0.017359
1.456002, 0.009251, -0.034806
1.464002, -0.042543, -0.052242
1.472002, -0.065745, -0.069662
1.480002, -0.071114, -0.087061
1.488002, -0.080510, -0.104433
1.496002, -0.092110, -0.121774
1.504002, -0.108553, -0.139077
1.512002, -0.124923, -0.156338
1.520002, -0.143379, -0.173552
1.528002, -0.153278, -0.190712
1.536002, -0.171901, -0.207815
1.544002, -0.188919, -0.224854
1.552002, -0.209532, -0.241825
1.560002, -0.225495, -0.258722
1.568002, -0.244430, -0.275540
1.576002, -0.258931, -0.292275
1.584002, -0.276356, -0.308920
1.592002, -0.294787, -0.325471
1.600002, -0.310463, -0.341923
1.608002, -0.333616, -0.358271
1.616002, -0.346368, -0.374510
1.624002, -0.360293, -0.390635
1.632002, -0.376424, -0.406641
1.640002, -0.397588, -0.422523
1.648002, -0.416811, -0.438276
1.656002, -0.429490, -0.453896
1.664002, -0.445525, -0.469377
1.672002, -0.454321, -0.484716
1.680002, -0.470428, -0.499906
1.688002, -0.487086, -0.514945
1.696002, -0.509305, -0.529827
1.704002, -0.522344, -0.544547
1.712002, -0.539026, -0.559102
1.720002, -0.548853, -0.573486
1.728002, -0.561532, -0.587695
1.736002, -0.579437, -0.601726
1.744002, -0.593051, -0.615573
1.752002, -0.607600, -0.629233
1.760002, -0.622580, -0.642701
1.768002, -0.636026, -0.655973
1.776002, -0.650719, -0.669046
1.784002, -0.655537, -0.681914
1.792002, -0.671979, -0.694575
1.800002, -0.692808, -0.707025
1.808002, -0.701053, -0.719259
1.816002, -0.712629, -0.731274
1.824002, -0.717255, -0.743066
1.832002, -0.736143, -0.754632
1.840002, -0.747264, -0.765968
1.848002, -0.757834, -0.777071
1.856002, -0.773773, -0.787937
1.864002, -0.780724, -0.798563
1.872002, -0.791701, -0.808946
1.880002, -0.804525, -0.819083
1.888002, -0.816413, -0.828970
1.896002, -0.822357, -0.838604
